forum_name,forum_name_en,description,forum_url
สวนลุมพินี,lumpini,สุขภาพกาย สุขภาพจิต โรคมะเร็ง โรคไมเกรน โรคภูมิแพ้ ปวดประจำเดือน,https://pantip.com/forum/lumpini
รวมมิตร,,รวมกระทู้จากทุกห้อง,https://pantip.com/forum
ราชดำเนิน,rajdumnern,การเมือง รัฐศาสตร์ กฎหมาย สภาผู้แทน รัฐบาล ฝ่ายค้าน พรรคการเมือง,https://pantip.com/forum/rajdumnern
สีลม,silom,การบริหารจัดการ การตลาด ทรัพยากรบุคคล งานขาย SME ภาษีนิติบุคคล,https://pantip.com/forum/silom
มาบุญครอง,mbk,โทรศัพท์มือถือ Smartphone Tablet iOS Android,https://pantip.com/forum/mbk
ไกลบ้าน,klaibann,เรียนต่อต่างประเทศ ทำงานต่างประเทศ วีซ่า,https://pantip.com/forum/klaibann
พรหมชาติ,horoscope,ดูดวง ฮวงจุ้ย ไพ่ยิปซี ทำนายฝัน พระเครื่อง,https://pantip.com/forum/horoscope
ซิลิคอนวัลเลย์,siliconvalley,คอมมือใหม่ อินเทอร์เน็ต ซอฟต์แวร์ ฮาร์ดแวร์ เกม เขียนโปรแกรม Gadget,https://pantip.com/forum/siliconvalley
ดิโอลด์สยาม,theoldsiam,ผู้สูงอายุ สุขภาพผู้สูงอายุ ชีวิตหลังเกษียณ สิทธิผู้สูงอายุ ท่องเที่ยวผู้สูงอายุ,https://pantip.com/forum/theoldsiam
ห้องสมุด,library,หนังสือ หนังสือนิยาย ภาษาไทย ภาษาจีน ภาษาอังกฤษ ปรัชญา ประวัติศาสตร์,https://pantip.com/forum/library
กล้อง,camera,กล้องถ่ายรูป กล้อง DSLR กล้องวิดีโอ เทคนิคการถ่ายรูป,https://pantip.com/forum/camera
จตุจักร,jatujak,สัตว์เลี้ยง สุนัข แมว ต้นไม้ จัดสวน ของสะสม งานฝีมือ เกษตรกรรม,https://pantip.com/forum/jatujak
ภูมิภาค,region,ภาคเหนือ ภาคอีสาน ภาคกลาง ภาคตะวันออก ภาคตะวันตก ภาคใต้,https://pantip.com/forum/region
